student_id,age,gender,attendance_rate,gpa,family_income,study_hours_per_week,failed_courses,extracurricular_activities,parent_education,distance_from_home,dropped_out,gender_encoded,income_encoded,education_encoded
1,22,F,0.5817619362925114,3.556055934170696,Low,27,3,4,Master,24.21489133320672,0,0,1,2
2,19,M,0.6955407683258803,3.643905844153209,Low,31,4,2,Bachelor,22.89183578314073,0,1,1,0
3,23,M,0.9847061611676438,3.7915880896030174,Low,0,3,0,High School,1.3477300922494715,0,1,1,1
4,20,M,0.6290667163505638,2.5774630512832406,High,27,0,1,Bachelor,41.15051331735815,1,1,0,0
5,22,M,0.8283683322706461,2.297167045802847,Medium,6,0,1,Bachelor,18.63142013119176,0,1,2,0
6,18,F,0.6625950321123475,2.9554968664852845,Medium,1,1,3,Master,27.497515933726604,0,0,2,2
7,22,F,0.8867365628433004,2.427931058594069,Low,23,2,0,Bachelor,34.18773363044731,1,0,1,0
8,23,M,0.5654368303591749,3.002685417000582,Low,3,1,4,PhD,35.42884924545788,0,1,1,3
9,20,M,0.9849105225392724,3.263964656609561,High,18,2,2,Master,47.84302288247754,0,1,0,2
10,19,M,0.7268947706918196,3.2210125462303423,High,25,3,4,Bachelor,27.035657708593845,1,1,0,0
11,23,M,0.618025231673232,2.436382217550303,Low,10,0,1,High School,20.58625799774695,0,1,1,1
12,23,M,0.5367483736650063,1.917150504246882,Medium,39,2,4,High School,47.73147769809369,0,1,2,1
13,18,M,0.5848789525437703,2.576323346155519,Medium,10,3,1,Master,32.463401516250535,0,1,2,2
14,21,F,0.7598869742780088,1.856485360204772,Medium,2,0,1,Master,15.609367457551226,0,0,2,2
15,20,M,0.6685015882156431,3.725242587959521,Low,11,2,1,Bachelor,7.196748024774987,0,1,1,0
16,17,F,0.9144416829413048,2.3646936518446435,Medium,2,1,1,PhD,42.28517057179389,0,0,2,3
17,23,F,0.715443761830903,1.8861493680583092,High,26,1,1,Bachelor,18.746898536913427,0,0,0,0
18,21,M,0.624357136293815,1.5636193997643772,High,1,1,3,High School,33.36301634685713,0,1,0,1
19,17,F,0.8085724933020151,3.1145559657162107,Low,15,3,4,PhD,24.07000454892901,1,0,1,3
20,20,F,0.8533886084427229,3.092255793636858,High,1,1,3,PhD,10.74755920995688,1,0,0,3
21,16,F,0.5835209539504749,2.351510416453229,Low,29,4,3,PhD,30.48264382240279,0,0,1,3
22,21,F,0.5838096081441588,1.6792797221191276,Medium,19,0,0,Bachelor,3.9734703785834338,0,0,2,0
23,24,F,0.5183357134667714,2.52407223723808,Medium,37,3,0,High School,21.25378053368842,1,0,2,1
24,16,F,0.8682010075328203,2.278043737658484,Medium,27,1,0,Master,27.78413204351988,0,0,2,2
25,18,M,0.8319022638109026,3.1928015993375234,High,24,0,2,Bachelor,22.36630173181037,0,1,0,0
26,22,F,0.7373154378749069,3.014448123631726,Low,31,2,0,Master,37.68493658729855,1,0,1,2
27,19,F,0.9220852244845984,2.41148432049385,Medium,9,1,4,PhD,41.56832277272031,1,0,2,3
28,24,F,0.9028350764750266,2.044731385637476,Low,39,0,3,PhD,38.79091062762573,0,0,1,3
29,18,M,0.792677182198376,3.97008991538898,Medium,32,4,4,Bachelor,2.9018344427783034,0,1,2,0
30,20,F,0.9341356402566292,2.635004052990287,High,12,2,0,High School,10.51230975185264,0,0,0,1
31,18,M,0.6029206050183842,3.220685589450593,High,36,4,2,PhD,27.29376795392494,0,1,0,3
32,22,F,0.5559598096988639,1.851382418945902,Low,15,0,2,Master,46.80627998174626,0,0,1,2
33,20,M,0.6348748057584948,2.7139742491484946,High,21,4,3,Master,41.91288197755373,0,1,0,2
34,24,M,0.5285434280446575,1.5688417996736637,High,19,0,4,Bachelor,42.28419090923828,0,1,0,0
35,22,F,0.765584764000516,2.763637794776125,Low,26,0,1,Master,15.85720149422407,1,0,1,2
36,17,F,0.9683028461474807,3.910043517794256,Medium,15,4,4,High School,22.042946956856422,1,0,2,1
37,19,M,0.5196717703342548,2.4605167824645005,High,33,0,0,PhD,24.064591418480934,0,1,0,3
38,24,F,0.5610549570050134,1.597490031437279,Low,31,1,1,Master,8.71120758414561,1,0,1,2
39,17,M,0.7260995141417177,1.5773894772983588,High,25,0,2,Master,2.52233838197836,1,1,0,2
40,24,M,0.9669375087639523,2.469966899867174,High,24,3,3,PhD,47.39824207356533,0,1,0,3
41,20,M,0.6580780524883753,1.900062341157985,High,1,0,3,Bachelor,12.79491669751183,0,1,0,0
42,17,M,0.7536174043441962,1.5583802408204648,High,11,3,2,Master,12.757496282457934,0,1,0,2
43,19,M,0.520786429525196,3.390534034875442,Low,39,0,0,Bachelor,5.085573634669217,0,1,1,0
44,22,F,0.5741716004810444,2.6463075222047268,Low,8,0,2,Bachelor,46.49687984524515,0,0,1,0
45,23,M,0.9933150614794236,2.2231119299316364,Low,11,4,0,Master,29.407118632048828,0,1,1,2
46,18,M,0.9825593482180228,3.750207957541202,High,25,1,1,High School,33.68480599914234,0,1,0,1
47,16,F,0.5024699904672048,1.790347400501314,High,8,1,2,Bachelor,45.66726747588957,0,0,0,0
48,19,M,0.9759058927116196,3.889797072388298,High,9,2,0,Master,17.935388276138685,1,1,0,2
49,17,F,0.8195599689077502,2.284916793443382,Low,31,4,1,Bachelor,31.45385824576612,0,0,1,0
50,23,F,0.9339591472600112,3.721009180771703,High,33,4,2,PhD,2.9011732817154856,0,0,0,3
51,19,F,0.7273699278169296,3.007357191198654,Medium,19,1,3,High School,10.151853883325336,0,0,2,1
52,17,M,0.7577980142896251,3.5667683993537187,High,38,4,2,High School,41.73104444940719,0,1,0,1
53,21,M,0.7444232901284601,3.960032908026161,Medium,1,1,4,PhD,38.57164946057845,1,1,2,3
54,21,M,0.8334321287730522,2.2210135945468643,High,0,4,2,PhD,18.1814918814002,0,1,0,3
55,19,F,0.5698256273781565,3.902838713518983,Low,35,0,4,Bachelor,19.46372076093641,0,0,1,0
56,21,M,0.5149867949363389,2.473704737256051,High,23,1,1,PhD,27.144167244125395,1,1,0,3
57,17,F,0.6539649707955955,2.463779761842306,Medium,26,1,2,High School,1.0118092295715928,0,0,2,1
58,17,M,0.8523403813683234,2.350967760636264,Medium,1,3,1,PhD,12.820972465863363,0,1,2,3
59,19,F,0.6009267260614741,2.8535190183689627,High,30,4,1,Master,11.203358621802508,0,0,0,2
60,23,M,0.8367162166624587,1.8853626079462176,Medium,13,4,0,Master,13.273664390738409,1,1,2,2
61,22,M,0.9849560230536352,2.884278713395028,Medium,1,1,1,Bachelor,40.48938628413863,0,1,2,0
62,24,M,0.5469503578947092,2.85426203102501,Low,28,0,1,High School,14.704018970775715,0,1,1,1
63,23,F,0.8363010591125631,3.404754531512175,High,14,0,2,Master,10.38454478045726,0,0,0,2
64,20,F,0.7218751096522855,3.584124904843964,High,11,0,2,PhD,25.708909578858545,0,0,0,3
65,17,M,0.9340711271887528,2.60110337578106,High,36,4,3,Master,43.41660678226386,1,1,0,2
66,20,M,0.588574894723693,2.2558331233787343,Medium,27,3,0,Master,12.826135488037494,0,1,2,2
67,23,F,0.8463129761130823,2.148337243292736,High,19,1,1,Bachelor,4.848275896847136,0,0,0,0
68,24,F,0.919057644824055,1.98655959176218,High,38,2,0,PhD,18.46383205663357,0,0,0,3
69,24,F,0.9723071097370116,1.6441189554975622,Low,23,3,4,PhD,37.63493940368392,1,0,1,3
70,16,M,0.8416240141448229,2.3561199470867837,Low,20,2,1,PhD,27.98383669004493,0,1,1,3
71,24,F,0.7485873820042137,2.175619230326958,Low,9,3,0,Bachelor,41.02287510914302,1,0,1,0
72,22,M,0.8089236201006069,3.9160434646660174,Medium,13,0,3,PhD,48.02001523285247,1,1,2,3
73,24,F,0.9344524922393592,2.8942720656251097,High,36,4,3,PhD,39.84046136082924,0,0,0,3
74,23,M,0.7853048733194148,2.368192597576269,Low,17,2,1,Master,30.58635086334392,0,1,1,2
75,16,F,0.5151935298484185,2.95116900248424,Low,23,3,4,Master,25.173737814566643,0,0,1,2
76,23,F,0.9654743477534888,1.8479917533642387,Low,13,4,3,PhD,2.963385231065067,1,0,1,3
77,23,F,0.8447633755157806,2.6101093730055074,High,33,2,3,High School,49.23177696188802,0,0,0,1
78,18,F,0.8382566928886233,3.0655858035526595,High,11,1,4,High School,19.79057500617708,0,0,0,1
79,16,F,0.6078375761988586,2.7222445794811287,High,21,3,0,PhD,8.459182481926472,1,0,0,3
80,23,M,0.8294427351163286,2.5044470016358105,Medium,5,1,3,High School,33.66873391442638,0,1,2,1
81,18,F,0.6969322028270792,3.9846209722492456,Medium,35,0,2,Bachelor,14.930126165677509,0,0,2,0
82,18,F,0.825616488520746,3.7007869053723175,Low,35,1,3,Master,29.70313527562133,0,0,1,2
83,16,F,0.5532965151539954,3.0585148953986003,High,21,1,0,Bachelor,29.75162748438497,0,0,0,0
84,20,M,0.8289226523015181,2.923443402955707,Low,13,3,0,Master,22.840761224240588,1,1,1,2
85,22,F,0.9997068628853332,3.0516511995614604,High,15,0,1,High School,41.96981216170709,0,0,0,1
86,24,M,0.524106019430278,2.0032802695560834,High,35,1,2,High School,13.98338601621671,0,1,0,1
87,22,F,0.9885870921106586,2.4878443581607965,High,24,4,0,PhD,22.98299698926897,1,0,0,3
88,24,F,0.7034539803614352,1.5986488322272483,Medium,31,2,4,High School,27.346914300957604,0,0,2,1
89,23,M,0.9353767251686296,2.688865093717067,Medium,32,1,2,High School,33.517611317597684,1,1,2,1
90,17,F,0.8911927420291368,2.857561459894158,High,35,0,2,PhD,39.414620674773886,1,0,0,3
91,16,M,0.7835081304933339,2.069374340258024,Low,19,1,4,PhD,20.345556861034545,0,1,1,3
92,22,M,0.8692246046256633,3.910072117913785,High,17,2,3,Master,32.656300260733204,0,1,0,2
93,22,F,0.939257780650674,3.773636527343105,High,37,0,4,High School,8.379936700357437,0,0,0,1
94,23,M,0.7020701608255164,3.305358088639765,Low,2,3,4,Master,46.69975692658145,0,1,1,2
95,20,F,0.6635165807816193,2.8334665719134065,High,22,0,3,Master,19.769881514629173,0,0,0,2
96,18,F,0.8337966927817924,3.674922899119213,Low,31,3,3,Bachelor,36.74654967684548,0,0,1,0
97,23,M,0.9039229709706292,1.8266308595586571,Medium,15,0,3,High School,1.9967130122267047,0,1,2,1
98,21,M,0.8811425673883079,3.4762744856872123,Medium,4,2,3,High School,11.054170002335542,1,1,2,1
99,18,M,0.8989068244293172,1.8120520349171207,Low,3,2,3,Bachelor,24.86704467185532,0,1,1,0
100,16,M,0.7177916574064664,3.485526656373513,Medium,20,0,4,Master,44.03437091888498,0,1,2,2
101,18,F,0.9089171080875108,2.1894189206283925,Medium,39,1,1,High School,26.83550234758318,0,0,2,1
102,20,F,0.5601045276853043,3.692726452545472,Low,13,2,1,Master,46.56365363240008,1,0,1,2
103,18,M,0.7722445489804248,3.860105234563495,Medium,38,3,0,Bachelor,24.70604793255702,0,1,2,0
104,16,F,0.5028793302490608,1.871989923512789,High,30,3,1,PhD,25.032005740061543,1,0,0,3
105,20,F,0.6622929149501351,2.656689012663484,High,13,4,1,Master,6.867592636526062,0,0,0,2
106,22,F,0.683230767435699,3.952468445406713,Low,5,3,4,High School,40.33015596345877,0,0,1,1
107,22,F,0.6980863458046277,2.7085185899328668,Medium,11,4,3,PhD,13.101305210886062,0,0,2,3
108,24,M,0.8477336033449311,3.658868806286363,High,15,0,3,Master,45.08101197924344,0,1,0,2
109,18,M,0.6942790506351728,2.9718288053282995,High,16,0,4,Master,45.63038679618941,0,1,0,2
110,22,F,0.7243468113112653,2.4383247697990047,Medium,22,0,1,PhD,47.22219548183334,0,0,2,3
111,16,M,0.6187720654371638,2.214458888814676,Medium,13,1,4,PhD,26.49129396605141,0,1,2,3
112,19,M,0.68662589581467,2.0080577277152183,High,6,1,0,PhD,34.17759545439857,1,1,0,3
113,19,M,0.6136348136315757,3.404495478444243,High,31,4,3,High School,39.14727812302152,0,1,0,1
114,20,F,0.5365979618842218,2.46635126705757,Low,14,3,2,High School,7.419716313872814,1,0,1,1
115,22,F,0.801724296690689,2.7781886555018778,Low,16,3,0,Master,30.446902554877365,0,0,1,2
116,22,F,0.8341063992775082,2.730813700002954,High,33,0,0,Master,2.680597163862272,0,0,0,2
117,19,M,0.8097451730048073,2.943197573082828,Low,4,2,4,Bachelor,25.380738086047568,0,1,1,0
118,22,F,0.7317470219002862,3.6639428640613807,High,26,1,1,High School,8.587291399391143,0,0,0,1
119,18,F,0.6898928900896149,3.9518483589585736,High,22,1,3,Master,9.963223372142153,0,0,0,2
120,21,M,0.9316668247859126,2.5189605214345425,Low,39,0,2,PhD,18.887330767937478,0,1,1,3
121,17,F,0.7595408925681091,3.5687973052657576,Low,13,1,0,PhD,22.18942116910865,0,0,1,3
122,24,F,0.7395909388148655,3.411319486636794,Medium,14,0,2,High School,31.535448802077173,0,0,2,1
123,20,M,0.5128210329032179,2.933822378638933,Medium,32,4,1,PhD,4.646992503487267,0,1,2,3
124,21,M,0.6706239138130782,3.8901178590298326,Medium,30,3,1,Bachelor,25.68089630063479,1,1,2,0
125,19,M,0.6900978093929285,2.001186288821007,High,34,2,2,Master,9.948631382401954,0,1,0,2
126,22,F,0.6994113904484502,1.7731605257740537,Low,16,3,3,Master,29.12478357655535,0,0,1,2
127,24,F,0.7900861846136662,3.634904917388556,High,27,3,1,Master,32.23282600079799,0,0,0,2
128,22,F,0.7668012733634393,2.5978745415843707,Low,18,4,2,High School,28.27875357108984,0,0,1,1
129,16,M,0.8039525463967223,3.6174221355176512,High,22,1,0,PhD,37.17648001343708,0,1,0,3
130,16,M,0.8824416307710641,3.732725512988537,Medium,31,2,2,Bachelor,17.444852967804167,0,1,2,0
131,24,F,0.9064928693580468,1.6561439840476786,Medium,39,1,2,High School,38.49022299002341,0,0,2,1
132,24,F,0.8590615381132471,3.708661907465152,Medium,12,3,4,Master,22.20558700370149,0,0,2,2
133,19,M,0.9777618479774672,2.6207976384235554,High,19,0,1,Bachelor,24.725040417807243,0,1,0,0
134,24,M,0.5091162913381808,2.7760812225105806,Low,34,3,3,Master,32.7570042357925,0,1,1,2
135,18,M,0.597888992841773,3.066481277733025,Low,4,1,3,Master,1.899560815961974,0,1,1,2
136,22,M,0.503781437489071,3.8159565168252167,Medium,8,3,4,High School,33.04571684959217,1,1,2,1
137,21,F,0.8237373570773014,1.54779023607441,Medium,28,0,3,Master,31.310672304533654,0,0,2,2
138,23,M,0.9490152744749936,2.6921086707945427,Medium,5,4,2,Bachelor,16.182508720910718,0,1,2,0
139,24,F,0.6217411482881496,3.2193051060764017,Medium,24,1,4,Master,5.203919960074985,1,0,2,2
140,20,F,0.9635172723981532,3.306767394245571,Low,30,3,0,PhD,5.455837045739016,1,0,1,3
141,16,F,0.5301336951447804,3.23133107884277,High,21,1,1,Master,46.2379636022762,0,0,0,2
142,18,M,0.9672180134027571,1.8360878235203049,High,1,4,1,High School,34.77468674006602,0,1,0,1
143,23,M,0.6758113436198172,2.248488970929203,High,4,3,1,Bachelor,7.228028074766279,1,1,0,0
144,21,M,0.5507104142246082,2.3967888135425337,High,26,3,2,High School,18.47943529613641,0,1,0,1
145,23,M,0.7429358795931629,3.5110930191987624,Medium,24,1,0,PhD,30.031666701178224,1,1,2,3
146,24,F,0.6283882838602539,2.1968996810363826,Medium,7,1,4,Master,41.94301354944179,0,0,2,2
147,19,M,0.6424364509809615,2.026762409668008,Medium,0,0,4,High School,3.139385506937418,0,1,2,1
148,16,M,0.6536449824631433,3.893620047595241,High,19,4,1,High School,12.595023442030437,0,1,0,1
149,16,F,0.9015129489163316,1.522158212783672,Medium,22,0,0,High School,44.59770052447362,0,0,2,1
150,19,M,0.7695806383376272,3.9945521392049455,Medium,31,3,0,High School,1.4491119590070078,1,1,2,1
151,22,F,0.6556538495780018,3.1920532471434893,Low,10,1,0,PhD,10.868556036900484,1,0,1,3
152,17,F,0.8051668916554592,3.5711732486227925,Low,38,3,3,PhD,47.99218462267533,0,0,1,3
153,18,F,0.8580753371115968,2.236548490865483,Medium,23,3,3,Master,31.056690479586383,0,0,2,2
154,16,F,0.6363120003667668,1.53578819416765,Low,10,2,1,Master,13.821896965237816,1,0,1,2
155,20,F,0.7067745507626757,3.344673796403825,Low,28,2,0,Bachelor,4.2825636253965325,0,0,1,0
156,16,F,0.5609430466684737,3.585361492501689,Medium,25,3,0,PhD,2.3813756819138856,0,0,2,3
157,23,F,0.5905746747673402,3.351190329883798,Medium,15,1,4,High School,12.992508902209437,0,0,2,1
158,16,F,0.8405589269824914,1.8571257182520964,Medium,34,3,4,High School,44.19280515985661,0,0,2,1
159,16,M,0.5907191738478135,3.3835698056424226,Medium,19,2,1,Bachelor,21.379769060577964,1,1,2,0
160,17,M,0.7625816918335301,3.4223069552691023,High,2,1,0,High School,36.296335089133656,0,1,0,1
161,17,M,0.8545231308612163,3.1463512891751373,High,0,3,1,Bachelor,45.995966733617934,0,1,0,0
162,21,M,0.553438461547372,3.4152898319889653,Medium,0,4,4,Master,20.993982618538013,1,1,2,2
163,22,F,0.7836561098144518,3.6148035991943295,Low,16,4,4,PhD,10.372591180832456,0,0,1,3
164,20,M,0.6282813918506819,3.034010285593646,Medium,1,3,3,Bachelor,26.338778611989056,0,1,2,0
165,16,F,0.9814634376187898,1.7215117849241977,Medium,28,1,1,High School,45.49610066593287,0,0,2,1
166,16,M,0.7417728233599623,2.7190695241680274,Low,19,3,1,Bachelor,40.41434629274733,0,1,1,0
167,18,M,0.902996274887579,1.6941233366790127,High,5,3,0,Master,4.225662324794536,0,1,0,2
168,17,M,0.7751132710781309,2.518857577581077,Medium,7,2,0,High School,34.93606720380151,0,1,2,1
169,20,F,0.5217062664274096,2.5177662228140694,Medium,28,4,3,Master,29.02297860048873,0,0,2,2
170,21,M,0.8165756877970112,1.665024610350604,High,32,2,2,Master,45.46569564097485,0,1,0,2
171,22,F,0.9757016711033284,2.3720513349236985,High,2,2,2,Bachelor,7.001589425664564,0,0,0,0
172,19,F,0.8008059100731656,1.7774952469782872,Low,34,3,2,Master,27.16776954702817,0,0,1,2
173,22,M,0.9095944297133952,3.5205880250230552,High,4,2,1,High School,44.093671982082725,0,1,0,1
174,23,M,0.942103231674204,3.8692200649111768,High,26,4,1,Master,21.09116555034541,0,1,0,2
175,16,M,0.6140398859744662,1.6807911881448463,High,11,2,4,Master,24.617750968910485,0,1,0,2
176,21,F,0.6060224199541133,3.8877880182292537,Low,19,4,1,Bachelor,4.452573205680956,0,0,1,0
177,23,M,0.8054904944254959,2.806441498341863,High,19,2,1,Master,14.62903838199663,1,1,0,2
178,20,F,0.7055142349033523,2.2489141948846845,High,8,4,1,PhD,16.90082580927842,1,0,0,3
179,19,F,0.9199306514333602,1.6921551881904089,Low,38,2,3,Bachelor,47.31099998849946,0,0,1,0
180,17,M,0.9500115616990056,2.7515606701760444,High,3,2,1,Bachelor,14.850700666516794,1,1,0,0
181,21,M,0.676710689651359,3.486288861226872,High,18,1,0,High School,23.582568028212947,0,1,0,1
182,21,F,0.618435279487241,3.2677161931667453,Low,37,4,0,High School,33.89391675464971,1,0,1,1
183,16,F,0.8902627576219309,1.6255650286599344,Medium,26,4,4,High School,8.946985247985992,0,0,2,1
184,24,F,0.637403017774068,1.6822545884197588,Low,12,4,3,High School,24.83567696995185,0,0,1,1
185,21,M,0.9113071592568392,2.5071832065815927,High,12,0,0,PhD,37.18841293431947,0,1,0,3
186,18,F,0.7118691268243814,2.2382262351198583,High,21,2,3,Bachelor,43.47590543832624,0,0,0,0
187,19,M,0.8337749496457352,2.08096080764012,High,27,4,3,Master,31.68670445845891,1,1,0,2
188,19,F,0.5477676569173341,2.202511247271784,Low,21,0,4,High School,33.78362225053045,0,0,1,1
189,18,F,0.8119296623382866,3.508706858242212,High,18,1,3,High School,7.187890156643879,0,0,0,1
190,18,M,0.7258838393686146,3.823070134079635,High,7,4,1,High School,47.34304836507101,0,1,0,1
191,18,F,0.793304231587737,2.512756736318916,Low,7,4,3,Master,7.496129796739636,0,0,1,2
192,19,M,0.5840071038724317,3.765277505331243,Medium,25,0,4,High School,38.95897392190812,0,1,2,1
193,22,M,0.868436872472091,2.303739253119705,Medium,25,2,4,Master,13.975999767137624,0,1,2,2
194,19,F,0.9313985387716144,2.6910924658594797,High,22,1,4,Bachelor,46.74606404136133,1,0,0,0
195,24,M,0.6083699000453878,2.0650724945399994,Low,12,4,0,Bachelor,36.278017429104494,0,1,1,0
196,16,M,0.5478572777600809,3.10119010543961,High,27,2,1,Bachelor,37.93687193594008,0,1,0,0
197,23,F,0.5118192930231682,3.9474527879370234,Low,8,1,0,PhD,11.733899479934282,1,0,1,3
198,22,M,0.820985750221633,3.0087327401084467,Low,19,3,2,Master,22.70895885512288,0,1,1,2
199,17,M,0.8035470180443904,2.3945352102838724,Medium,18,3,1,High School,31.272846534875036,0,1,2,1
200,23,M,0.773348706357035,3.1195436149763207,Medium,38,1,3,High School,38.728707292123445,0,1,2,1
201,16,F,0.6159735480579878,1.807301696163469,Low,11,0,4,High School,6.094009419707089,1,0,1,1
202,24,M,0.6954529979527573,3.721647700663497,High,14,1,2,High School,48.15590050627189,0,1,0,1
203,24,F,0.7972381675930865,2.757709876949591,Medium,30,1,1,PhD,44.62081285717324,1,0,2,3
204,17,F,0.7483834294295847,2.623374355099105,High,13,0,0,High School,14.247080934283634,1,0,0,1
205,22,M,0.9938927601074437,2.964661971133798,Medium,10,0,4,PhD,41.315251908584266,0,1,2,3
206,18,M,0.5682198762783666,3.061959656973506,Medium,25,2,0,Master,26.39787222895135,0,1,2,2
207,22,M,0.8475722770237969,1.6794395155662825,High,26,2,1,Bachelor,23.628517596538916,0,1,0,0
208,24,F,0.7021593840521461,3.206543053058506,Medium,10,0,1,High School,16.407271184758866,0,0,2,1
209,19,M,0.7140998074628073,2.104829200788824,Medium,37,3,2,Bachelor,29.46746074494803,1,1,2,0
210,16,M,0.8587988828290881,3.2848815812664744,High,33,3,3,Master,36.76456676747629,1,1,0,2
211,17,M,0.8462180756621849,3.556336985960492,Medium,18,1,0,Master,21.135712343175157,0,1,2,2
212,16,M,0.9956279968510942,3.5098962688813007,Medium,5,4,2,High School,31.831740457406312,0,1,2,1
213,20,M,0.5641971447270626,2.881252418519723,Medium,37,1,4,Master,35.26633313660988,0,1,2,2
214,20,F,0.5520548246920831,2.8004247307768777,High,27,1,3,Bachelor,35.84496903374901,0,0,0,0
215,22,F,0.8621694085643705,1.8571899033485293,Low,0,4,2,High School,3.546338808427832,0,0,1,1
216,24,M,0.7891934585032045,3.438365376007839,High,34,0,0,PhD,43.12764247856828,0,1,0,3
217,24,M,0.6370803332799029,2.178523451116786,Low,39,3,1,High School,23.454412423487348,0,1,1,1
218,18,M,0.5397096844944933,2.7417385570448665,Medium,7,1,4,Bachelor,13.858388003114507,0,1,2,0
219,18,M,0.5428291247982153,2.2106852323187915,Low,6,4,0,High School,12.846460866504398,0,1,1,1
220,18,F,0.9470954373320593,1.834570907499233,High,10,2,3,High School,24.66769152935357,1,0,0,1
221,19,M,0.5959336623593714,3.0738942422293416,High,38,1,3,Bachelor,44.454745433979,1,1,0,0
222,23,F,0.6616857810577603,1.6358300870572595,Medium,3,3,1,High School,19.5390315024497,0,0,2,1
223,21,F,0.613328201113494,3.3716130853155,Low,24,0,1,High School,37.73656159239362,0,0,1,1
224,23,M,0.6774981529159687,2.293966988152792,Medium,11,1,4,Bachelor,5.744117818373711,0,1,2,0
225,16,F,0.5347119213730467,1.5003367325112134,Medium,25,1,4,Master,24.326778405402028,0,0,2,2
226,23,F,0.7595298954541352,2.7778228480930744,High,37,4,1,Bachelor,49.592620879244045,0,0,0,0
227,19,F,0.5338062817961075,1.6171297713190078,Low,11,2,1,High School,38.751452336824514,0,0,1,1
228,16,F,0.9001782539111808,2.1904238945522487,Low,36,2,3,PhD,11.315895933590037,0,0,1,3
229,23,M,0.6168560409552165,3.2674412186392905,Low,23,0,1,PhD,25.570632211197623,0,1,1,3
230,19,M,0.7700059573022553,1.6567240540546646,Low,15,3,2,Bachelor,12.447613418779762,0,1,1,0
231,21,F,0.9400395437807292,3.598346230890006,Medium,12,0,0,PhD,21.068485435862957,0,0,2,3
232,23,M,0.825438684523597,1.509549806646458,Medium,24,1,1,High School,39.22411716301328,0,1,2,1
233,19,M,0.7664788932756676,2.117059673004756,High,3,1,4,High School,38.790015949229776,1,1,0,1
234,18,M,0.6621668765576878,3.352260140380179,Medium,10,2,2,Bachelor,12.17691851721687,0,1,2,0
235,24,M,0.6665009565290989,2.290675374323267,Medium,31,3,4,High School,46.188942589588144,0,1,2,1
236,18,M,0.8347434775990951,1.7547309701650338,High,6,4,2,Master,30.035840955476512,0,1,0,2
237,24,F,0.9970696806105838,2.40058479700107,High,10,3,1,High School,19.61629025713871,1,0,0,1
238,17,M,0.8309195949246893,2.1759832159613137,High,27,1,0,Bachelor,25.59484345826217,0,1,0,0
239,17,M,0.7788917086850125,3.606779755401387,Medium,22,4,4,Master,30.64849141844944,0,1,2,2
240,17,M,0.8653252551196231,2.2833697939628577,Medium,22,3,2,Master,28.434636060443484,1,1,2,2
241,21,M,0.732602806141859,3.472331179440018,High,27,3,3,PhD,24.833846741272733,0,1,0,3
242,18,F,0.5300711713003926,3.729680362026837,High,25,4,1,High School,25.741707400380605,0,0,0,1
243,24,F,0.7811484079389549,2.5845435489413235,High,24,1,0,Bachelor,9.644183610966422,0,0,0,0
244,19,F,0.9788126422526902,3.77485785963598,Medium,28,3,1,PhD,40.82391231092929,0,0,2,3
245,16,F,0.5876514711788299,2.443295134907982,Medium,18,4,3,PhD,27.54625567710975,0,0,2,3
246,19,M,0.8450024454103329,3.9101960412252703,Low,32,1,0,High School,7.422913223530451,0,1,1,1
247,16,F,0.6004668443295282,1.7232238113139324,Medium,35,4,3,High School,38.54169797755612,0,0,2,1
248,20,M,0.7679138422365406,3.2175481662581067,Medium,13,4,1,Bachelor,46.68975494049019,0,1,2,0
